jones,smith,thomas,poole,brown
mcdonald,smith,brown,poole,jones
poole,jones,brown,mcdonald,thomas
jones,brown,mcdonald,thomas,poole
jones,mcdonald,brown,robinson,smith
robinson,poole,brown,thomas,jones
jones,smith,thomas,poole,brown
mcdonald,smith,brown,poole,jones
poole,jones,brown,mcdonald,thomas
jones,brown,mcdonald,thomas,poole
jones,mcdonald,brown,robinson,smith
robinson,poole,brown,thomas,jones
jones,smith,thomas,poole,brown
mcdonald,smith,brown,poole,jones
brown,mcdonald,jones,smith,poole
thomas,brown,smith,poole,jones
thomas,smith,poole,brown,robinson

